Steps,Car 1,Car 2,Car 3
0,0.440595259,0.346322165,0.294651205
1,0.929291826,0.745680369,0.632128039
2,1.473905329,1.180498208,0.993503878
3,2.071801503,1.64828907,1.37680734
4,2.720138772,2.14674332,1.780287087
5,3.415896187,2.673643049,2.202339687
6,4.155902192,3.226843505,2.64147747
7,4.936863797,3.804266411,3.096311014
8,5.755395754,4.403896865,3.565536911
9,6.608049338,5.023781881,4.047928383
10,7.491340372,5.66202986,4.542327788
11,8.401776151,6.316810623,5.047640503
12,9.335880989,6.986355783,5.562829845
13,10.29022012,7.668959311,6.086912823
14,11.26142175,8.362978165,6.618956516
15,12.24619714,9.066832915,7.158074977
16,13.24135852,9.779008288,7.703426542
17,14.24383484,10.49805359,8.25421147
18,15.25068538,11.22258296,8.809669858
19,16.259111,11.95127548,9.369079765
20,17.26646341,12.68287505,9.931755514
21,18.27025221,13.41619009,10.49704615
22,19.26815005,14.15009301,11.06433399
23,20.25799585,14.88351953,11.63303331
24,21.23779632,15.61546781,12.20258907
25,22.2057259,16.3449973,12.77247575
26,23.16012528,17.07122759,13.34219619
27,24.09949857,17.79333701,13.91128054
28,25.02250946,18.51056105,14.47928519
29,25.9279764,19.22219083,15.04579179
30,26.81486686,19.92757127,15.61040625
31,27.68229113,20.62609932,16.17275784
32,28.5294954,21.3172221,16.73249824
33,29.35585458,22.00043487,17.28930065
34,30.16086474,22.67527917,17.84285895
35,30.94413549,23.34134071,18.39288684
36,31.70538215,23.99824744,18.93911703
37,32.44441806,24.64566749,19.48130041
38,33.16114683,25.28330719,20.01920534
39,33.85555485,25.91090905,20.55261682
40,34.52770397,26.52824989,21.08133582
41,35.17772433,27.13513882,21.60517854
42,35.80580762,27.73141545,22.12397572
43,36.41220049,28.31694802,22.63757198
44,36.99719841,28.89163161,23.14582519
45,37.56113978,29.45538648,23.6486058
46,38.10440045,30.00815635,24.1457963
47,38.62738854,30.54990686,24.63729058
48,39.13053965,31.08062397,25.12299339
49,39.61431239,31.60031253,25.60281983
50,40.0791843,32.10899489,26.07669477
51,40.52564801,32.6067095,26.5445524
52,40.95420783,33.09350967,27.00633571
53,41.36537656,33.56946237,27.46199607
54,41.75967266,34.03464703,27.91149273
55,42.13761763,34.48915448,28.35479245
56,42.4997337,34.93308593,28.79186908
57,42.84654176,35.36655195,29.22270312
58,43.17855953,35.78967158,29.64728141
59,43.49629992,36.2025715,30.06559675
60,43.80026957,36.60538514,30.47764754
61,44.09096769,36.99825198,30.88343748
62,44.36888491,37.38131682,31.28297525
63,44.6345024,37.75472911,31.67627418
64,44.88829111,38.11864234,32.06335204
65,45.13071111,38.47321343,32.44423069
66,45.36221108,38.81860221,32.81893587
67,45.5832279,39.15497093,33.18749694
68,45.79418633,39.48248377,33.54994665
69,45.99549878,39.80130641,33.9063209
70,46.18756517,40.11160564,34.25665856
71,46.37077283,40.413549,34.60100123
72,46.54549651,40.70730439,34.93939308
73,46.71209839,40.99303983,35.27188065
74,46.87092818,41.27092311,35.59851268
75,47.02232323,41.54112155,35.91933996
76,47.16660869,41.80380175,36.23441515
77,47.30409774,42.05912939,36.54379262
78,47.43509176,42.307269,36.84752838
79,47.55988057,42.54838379,37.14567984
80,47.67874274,42.7826355,37.43830577
81,47.79194581,43.01018423,37.72546615
82,47.89974661,43.2311883,38.00722204
83,48.00239152,43.44580415,38.28363549
84,48.10011681,43.65418622,38.55476943
85,48.19314892,43.85648688,38.82068757
86,48.28170478,44.0528563,39.08145432
87,48.3659921,44.24344243,39.33713469
88,48.44620971,44.42839088,39.58779421
